term,estimate,robust_se,p_value,ci_low,ci_high,model
Intercept,60.3358123913486,0.860130341731901,0.0,58.649987899543945,62.02163688315325,OLS robust HC3
"C(sleep_group, Treatment(reference=""8+ hours""))[T.<=6 hours]",2.5008115126787445,0.639374437209753,9.178503596784825e-05,1.2476606431120625,3.7539623822454264,OLS robust HC3
"C(sleep_group, Treatment(reference=""8+ hours""))[T.7 hours]",1.1703892001472433,0.6583549293182928,0.0754452420596001,-0.11996275036102344,2.46074115065551,OLS robust HC3
"C(sex, Treatment(reference=""Female""))[T.Male]",3.189529914787585,0.535443157947686,2.572185054553028e-09,2.140080609441729,4.238979220133441,OLS robust HC3
"C(grade, Treatment(reference=""10th grade""))[T.9th grade]",1.3993385118315074,0.7259679048736589,0.05391128148595541,-0.023532435652864114,2.8222094593158786,OLS robust HC3
"C(grade, Treatment(reference=""10th grade""))[T.11th grade]",-1.3192207322158636,0.7283910020611214,0.07011861947025066,-2.7468408629187016,0.10839939848697466,OLS robust HC3
"C(grade, Treatment(reference=""10th grade""))[T.12th grade]",-2.211570073607264,0.7294848713013743,0.002431909319738197,-3.641334148624794,-0.7818059985897339,OLS robust HC3
physical_activity_days,-0.1628610847841008,0.10390383591914042,0.11701625023536229,-0.36650886104117525,0.040786691472973646,OLS robust HC3
tv_hours,1.8106321176447455,0.16945182284766278,1.1934968207007615e-26,1.478512647748665,2.142751587540826,OLS robust HC3
computer_hours,-0.5921514740011067,0.1827684811892886,0.001195719199326499,-0.9503711146411986,-0.2339318333610147,OLS robust HC3
Intercept,57.40530454732883,1.1418630932611356,0.0,55.167294009261504,59.64331508539616,WLS survey weight robust HC3
"C(sleep_group, Treatment(reference=""8+ hours""))[T.<=6 hours]",2.361949464484858,0.8429484777150218,0.00507854113760749,0.7098008073405511,4.014098121629165,WLS survey weight robust HC3
"C(sleep_group, Treatment(reference=""8+ hours""))[T.7 hours]",1.3206173678846156,0.8605734580276642,0.12488744244212477,-0.3660756159006979,3.007310351669929,WLS survey weight robust HC3
"C(sex, Treatment(reference=""Female""))[T.Male]",3.6237672327558266,0.7008769638832372,2.3367732947583456e-07,2.2500736259509013,4.997460839560752,WLS survey weight robust HC3
"C(grade, Treatment(reference=""10th grade""))[T.9th grade]",1.45524152061809,0.9492373879889954,0.12526012465098765,-0.40522957261921455,3.3157126138553945,WLS survey weight robust HC3
"C(grade, Treatment(reference=""10th grade""))[T.11th grade]",-0.534793899770295,0.9492615808085523,0.5731769345361666,-2.3953124100626155,1.3257246105220255,WLS survey weight robust HC3
"C(grade, Treatment(reference=""10th grade""))[T.12th grade]",-2.27897494375099,0.9696536131307643,0.018758386474210378,-4.179461102966423,-0.37848878453555734,WLS survey weight robust HC3
physical_activity_days,-0.07210746199352885,0.1330979403985181,0.5879821844790005,-0.33297463159108304,0.18875970760402533,WLS survey weight robust HC3
tv_hours,2.160657030027227,0.2233255676470063,3.853924550932069e-22,1.722946960612131,2.598367099442323,WLS survey weight robust HC3
computer_hours,-0.46438322706312807,0.23935428325320424,0.052361455668282306,-0.9335090017848069,0.004742547658550811,WLS survey weight robust HC3
